Source,Asset ID,Title,Region,Location,Licence,Paid Ads OK,Tags,Credit,File Type,File Size,Resolution,Date Added,Source URL,Local Path,In Library
Tourism New Zealand,550923,"Napier, Hawke's Bay",Hawke'S Bay,"Napier, Hawke's Bay",WorldWide - Unpaid Only,No,"Hawke's Bay, Image, information centre, i-Site, iSite, i-SITE Visitor Information Centre, isite visitor information centre, Napier, People, qualmark, visitor centre",Richard Brimer,JPG,25.1 MB,7952×5304px,25/04/2024,https://visuals.newzealand.com/asset-page/550923-napier-hawkes-bay,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\550923-napier-hawkes-bay.jpg,Yes
Tourism New Zealand,790766,"Queenstown, Otago",,Queenstown Otago New Zealand,WorldWide - Unpaid Only,No,"Active Escapes Industry Toolkit, Active Holiday, Queenstown Activity, Runners, Running, active holiday",Camilla Rutherford,JPG,23.74 MB,8192×5464px,31/10/2025,https://visuals.newzealand.com/asset-page/790766-queenstown-otago,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\790766-queenstown-otago.jpg,Yes
Tourism New Zealand,790763,"Queenstown, Otago",,Jack's Point Queenstown Otago New Zealand,WorldWide - Unpaid Only,No,"Active Escapes Industry Toolkit, Active Holiday, Queenstown Activity, active holiday",Camilla Rutherford,JPG,17.53 MB,8001×5337px,31/10/2025,https://visuals.newzealand.com/asset-page/790763-queenstown-otago,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\790763-queenstown-otago.jpg,Yes
Tourism New Zealand,550909,"Napier, Hawke's Bay",Hawke'S Bay,"Napier, Hawke's Bay",WorldWide - Unpaid Only,No,"Hawke's Bay, Image, information centre, i-Site, iSite, i-SITE Visitor Information Centre, isite visitor information centre, Napier, People, qualmark, visitor centre",Richard Brimer,JPG,16.89 MB,7952×5304px,25/04/2024,https://visuals.newzealand.com/asset-page/550909-napier-hawkes-bay,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\550909-napier-hawkes-bay.jpg,Yes
Tourism New Zealand,550932,"Napier, Hawke's Bay",Hawke'S Bay,"Napier, Hawke's Bay",WorldWide - Unpaid Only,No,"Hawke's Bay, Image, information centre, i-Site, iSite, i-SITE Visitor Information Centre, isite visitor information centre, Napier, People, qualmark, visitor centre",Richard Brimer,JPG,29.56 MB,8272×6200px,25/04/2024,https://visuals.newzealand.com/asset-page/550932-napier-hawkes-bay,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\550932-napier-hawkes-bay.jpg,Yes
Tourism New Zealand,550903,"Whitianga, Coromandel",Coromandel,"Whitianga, Coromandel",WorldWide - Unpaid Only,No,"activities, Activity, Boat, boat trip, Coromandel, Coromandel Peninsula, Glass bottom boat, Image, scenic, Scenic boat ride, Scenics, snorkel, Snorkeling, Snorkelling, swimming, The Coromandel, Waikato, water activities, Whitianga, wildlife",Miles Holden,JPG,26.84 MB,8192×5464px,25/04/2024,https://visuals.newzealand.com/asset-page/550903-whitianga-coromandel,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\550903-whitianga-coromandel.jpg,Yes
Tourism New Zealand,790769,"Queenstown, Otago",,Queenstown Otago New Zealand,WorldWide - Unpaid Only,No,"Active Escapes Industry Toolkit, Active Holiday, Jack's Point, Queenstown Activity, active holiday",Camilla Rutherford,JPG,26.23 MB,7689×5129px,31/10/2025,https://visuals.newzealand.com/asset-page/790769-queenstown-otago,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\790769-queenstown-otago.jpg,Yes
Tourism New Zealand,235641,Asset not available,,,,,,,,,,,https://visuals.newzealand.com/asset-page/235641-brand-tohu.pdf,,Not Available
Tourism New Zealand,550918,"Napier, Hawke's Bay",Hawke'S Bay,"Napier, Hawke's Bay",WorldWide - Unpaid Only,No,"Hawke's Bay, Image, information centre, i-Site, iSite, i-SITE Visitor Information Centre, isite visitor information centre, Napier, People, qualmark, visitor centre",Richard Brimer,JPG,23.31 MB,7952×5304px,25/04/2024,https://visuals.newzealand.com/asset-page/550918-napier-hawkes-bay,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\550918-napier-hawkes-bay.jpg,Yes
Tourism New Zealand,550917,"Napier, Hawke's Bay",Hawke'S Bay,"Napier, Hawke's Bay",WorldWide - Unpaid Only,No,"Hawke's Bay, Image, information centre, i-Site, iSite, i-SITE Visitor Information Centre, isite visitor information centre, Napier, People, qualmark, visitor centre",Richard Brimer,JPG,22.31 MB,7952×5304px,25/04/2024,https://visuals.newzealand.com/asset-page/550917-napier-hawkes-bay,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\550917-napier-hawkes-bay.jpg,Yes
